2026-03-04 04:11:20,554 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:11:20,733 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:11:21,119 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:11:21,347 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:11:21,577 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:11:21,978 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:11:22,174 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:11:22,450 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:11:22,887 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:11:23,094 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:11:23,297 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:42:16,526 | INFO | main_logger | JobService initialized
2026-03-04 04:42:22,642 | INFO | main_logger | BaselineRanker initialized
2026-03-04 04:42:22,643 | INFO | main_logger | FeedbackService initialized
2026-03-04 04:44:46,511 | INFO | main_logger | Creating job: ml_001
2026-03-04 04:44:46,766 | WARNING | main_logger | Job already exists with id: ml_001
2026-03-04 11:21:14,502 | INFO | main_logger | JobService initialized
2026-03-04 11:21:20,221 | INFO | main_logger | BaselineRanker initialized
2026-03-04 11:21:20,222 | INFO | main_logger | FeedbackService initialized
2026-03-04 11:22:58,293 | INFO | main_logger | Creating job: ml_002
2026-03-04 11:22:58,666 | INFO | main_logger | Job created successfully: ml_002
2026-03-04 11:32:58,146 | INFO | main_logger | JobService initialized
2026-03-04 11:33:05,241 | INFO | main_logger | BaselineRanker initialized
2026-03-04 11:33:05,242 | INFO | main_logger | FeedbackService initialized
2026-03-04 11:53:11,932 | INFO | main_logger | JobService initialized
2026-03-04 11:53:18,785 | INFO | main_logger | BaselineRanker initialized
2026-03-04 11:53:18,786 | INFO | main_logger | FeedbackService initialized
2026-03-04 11:53:39,370 | INFO | main_logger | JobService initialized
2026-03-04 11:53:46,440 | INFO | main_logger | BaselineRanker initialized
2026-03-04 11:53:46,441 | INFO | main_logger | FeedbackService initialized
2026-03-04 11:55:22,694 | INFO | main_logger | JobService initialized
2026-03-04 11:55:28,833 | INFO | main_logger | BaselineRanker initialized
2026-03-04 11:55:28,835 | INFO | main_logger | FeedbackService initialized
2026-03-04 11:55:47,298 | INFO | main_logger | JobService initialized
2026-03-04 11:55:53,822 | INFO | main_logger | BaselineRanker initialized
2026-03-04 11:55:53,823 | INFO | main_logger | FeedbackService initialized
2026-03-04 12:02:41,473 | INFO | main_logger | JobService initialized
2026-03-04 12:02:48,232 | INFO | main_logger | BaselineRanker initialized
2026-03-04 12:02:48,233 | INFO | main_logger | FeedbackService initialized
2026-03-04 12:03:21,724 | INFO | main_logger | JobService initialized
2026-03-04 12:03:28,781 | INFO | main_logger | BaselineRanker initialized
2026-03-04 12:03:28,781 | INFO | main_logger | FeedbackService initialized
2026-03-04 12:03:48,448 | INFO | main_logger | JobService initialized
2026-03-04 12:03:54,282 | INFO | main_logger | BaselineRanker initialized
2026-03-04 12:03:54,284 | INFO | main_logger | FeedbackService initialized
2026-03-04 12:05:02,895 | INFO | main_logger | JobService initialized
2026-03-04 12:05:11,186 | INFO | main_logger | BaselineRanker initialized
2026-03-04 12:05:11,187 | INFO | main_logger | FeedbackService initialized
2026-03-04 12:05:39,957 | INFO | main_logger | JobService initialized
2026-03-04 12:05:48,046 | INFO | main_logger | BaselineRanker initialized
2026-03-04 12:05:48,047 | INFO | main_logger | FeedbackService initialized
2026-03-04 12:06:06,277 | INFO | main_logger | JobService initialized
2026-03-04 12:06:12,933 | INFO | main_logger | BaselineRanker initialized
2026-03-04 12:06:12,934 | INFO | main_logger | FeedbackService initialized
2026-03-04 12:06:35,565 | INFO | main_logger | JobService initialized
2026-03-04 12:06:42,223 | INFO | main_logger | BaselineRanker initialized
2026-03-04 12:06:42,224 | INFO | main_logger | FeedbackService initialized
2026-03-04 12:07:03,317 | INFO | main_logger | JobService initialized
2026-03-04 12:07:10,068 | INFO | main_logger | BaselineRanker initialized
2026-03-04 12:07:10,069 | INFO | main_logger | FeedbackService initialized
2026-03-04 13:35:04,380 | INFO | main_logger | JobService initialized
2026-03-04 13:35:11,017 | INFO | main_logger | BaselineRanker initialized
2026-03-04 13:35:11,018 | INFO | main_logger | FeedbackService initialized
2026-03-04 13:37:03,124 | INFO | main_logger | JobService initialized
2026-03-04 13:37:09,399 | INFO | main_logger | BaselineRanker initialized
2026-03-04 13:37:09,400 | INFO | main_logger | FeedbackService initialized
2026-03-04 13:38:39,714 | INFO | main_logger | JobService initialized
2026-03-04 13:38:45,656 | INFO | main_logger | BaselineRanker initialized
2026-03-04 13:38:45,657 | INFO | main_logger | FeedbackService initialized
2026-03-04 13:43:54,394 | INFO | main_logger | JobService initialized
2026-03-04 13:44:01,655 | INFO | main_logger | BaselineRanker initialized
2026-03-04 13:44:01,656 | INFO | main_logger | FeedbackService initialized
2026-03-04 13:46:00,134 | INFO | main_logger | JobService initialized
2026-03-04 13:46:08,120 | INFO | main_logger | BaselineRanker initialized
2026-03-04 13:46:08,121 | INFO | main_logger | FeedbackService initialized
2026-03-04 13:47:53,499 | INFO | main_logger | JobService initialized
2026-03-04 13:48:01,691 | INFO | main_logger | BaselineRanker initialized
2026-03-04 13:48:01,692 | INFO | main_logger | FeedbackService initialized
2026-03-04 13:50:33,133 | INFO | main_logger | JobService initialized
2026-03-04 13:50:40,301 | INFO | main_logger | BaselineRanker initialized
2026-03-04 13:50:40,302 | INFO | main_logger | FeedbackService initialized
2026-03-04 13:52:14,107 | INFO | main_logger | JobService initialized
2026-03-04 13:52:21,989 | INFO | main_logger | BaselineRanker initialized
2026-03-04 13:52:21,991 | INFO | main_logger | FeedbackService initialized
